4,-3
5,45
4,13
4,-13
6,88
2,-88
4,-14
4,14
5,22
3,-22
7,134
4,3
1,-134
4,3
4,-3
5,50
3,-50
4,-14
4,14
3,-29
5,29
2,-79
4,0
6,79
4,0
3,-45
4,-3
4,-13
6,88
2,-88
4,-14
4,14
5,22
3,-22
7,134
1,-134
4,3
4,3
4,-3
5,50
3,-50
4,-14
4,14
3,-29
5,29
2,-79
6,79
4,0
4,0
4,13
4,0
6,88
2,-88
4,-14
4,14
5,22
3,-22
7,134
1,-134
4,3
4,-3
3,-45
5,50
3,-50
4,-14
4,14
3,-29
5,29
2,-79
6,79
5,45
4,13
4,-13
4,-3
5,45
4,13
4,-13
6,88
2,-88
4,-14
4,14
5,22
3,-22
7,134
4,3
1,-134
4,3
4,-3
5,50
3,-50
4,-14
4,14
3,-29
5,29
2,-79
4,0
6,79
4,0
3,-45
4,-3
5,45
4,13
4,-13
6,88
2,-88
4,-14
4,14
5,22
3,-22
7,134
4,3
1,-134
4,3
4,-3
5,50
3,-50
4,-14
4,14
3,-29
5,29
2,-79
4,0
6,79
4,0
3,-45
4,-3
5,45
4,13
4,-13
6,88
2,-88
4,-14
4,14
5,22
3,-22
7,134
4,3
1,-134
4,3
4,-3
5,50
3,-50
4,-14
4,14
3,-29
5,29
2,-79
4,0
6,79
4,0
3,-45
4,-3
4,-13
6,88
2,-88
4,-14
4,14
5,22
3,-22
7,134
1,-134
4,3
4,3
4,-3
5,50
3,-50
4,-14
4,14
3,-29
5,29
2,-79
6,79
3,-45
5,45
4,13
4,-3
5,45
4,13
4,-13
6,88
2,-88
4,-14
4,14
5,22
3,-22
7,134
4,3
1,-134
4,3
4,-3
5,50
3,-50
4,-14
4,14
3,-29
5,29
2,-79
4,0
6,79
4,0
3,-45
4,-3
5,45
4,13
4,-13
6,88
2,-88
4,-14
4,14
5,22
3,-22
7,134
4,3
1,-134
4,3
4,-3
5,50
3,-50
4,-14
4,14
3,-29
5,29
2,-79
4,0
6,79
4,0
3,-45
4,-3
5,45
4,13
4,-13
6,88
2,-88
4,-14
4,14
5,22
3,-22
7,134
4,3
1,-134
4,3
4,-3
5,50
3,-50
4,-14
4,14
3,-29
5,29
2,-79
4,0
6,79
4,0
3,-45
4,4
6,93
4,3
4,-3
6,75
2,-75
6,88
2,-88
4,-18
4,18
0,-142
4,-4
8,142
4,-5
4,5
4,-6
4,6
3,-23
5,23
6,70
2,-70
0,-142
4,0
8,142
4,0
2,-93
4,4
6,93
4,3
4,-3
6,75
2,-75
6,88
2,-88
4,-18
4,18
0,-142
4,-4
8,142
4,-5
4,5
4,-6
4,6
3,-23
5,23
6,70
2,-70
0,-142
4,0
8,142
4,0
2,-93
4,4
6,93
4,3
4,-3
6,75
2,-75
6,88
2,-88
4,-18
4,18
0,-142
4,-4
8,142
4,-5
4,5
4,-6
3,-23
5,23
6,70
2,-70
0,-142
8,142
4,0
4,0
2,-93
4,4
6,93
4,3
4,-3
6,75
2,-75
6,88
2,-88
4,-18
4,18
0,-142
4,-4
8,142
4,-5
4,5
4,-6
4,6
3,-23
5,23
6,70
2,-70
0,-142
4,0
8,142
4,0
2,-93
4,0
8,142
4,-6
4,10
4,-4
2,-93
4,6
8,181
2,-88
4,3
3,-26
5,23
3,-39
6,61
3,-22
4,-3
4,-2
4,5
4,3
4,1
4,-4
4,-18
4,5
4,13
4,3
3,-29
5,51
3,-22
5,22
1,-101
6,79
2,-93
5,54
5,39
6,88
4,-3
3,-38
3,-50
7,134
0,-179
5,45
0,-142
8,145
4,-3
6,98
1,-121
4,0
5,23
3,-23
4,-6
5,29
3,-23
8,157
1,-134
3,-29
8,163
1,-134
4,-6
6,70
4,-20
3,-50
1,-115
3,-27
4,0
8,142
4,-6
4,10
4,-4
2,-93
4,6
8,181
2,-88
4,3
3,-26
5,23
3,-39
6,61
3,-22
4,-3
4,-2
4,5
4,3
4,1
4,-4
4,-18
4,5
4,13
4,3
3,-29
5,51
3,-22
5,22
1,-101
6,79
2,-93
5,54
5,39
6,88
4,-3
3,-38
3,-50
7,134
0,-179
5,45
0,-142
8,145
4,-3
6,98
1,-121
4,0
5,23
3,-23
4,-6
5,29
3,-23
8,157
1,-134
3,-29
8,163
1,-134
4,-6
6,70
4,-20
3,-50
1,-115
3,-27
4,0
8,142
4,-6
4,10
4,-4
2,-93
4,6
8,181
2,-88
4,3
3,-26
5,23
3,-39
6,61
3,-22
4,-3
4,-2
4,5
4,3
4,1
4,-4
4,-18
4,5
4,13
4,3
3,-29
5,51
3,-22
5,22
1,-101
6,79
2,-93
5,54
5,39
6,88
4,-3
3,-38
3,-50
7,134
0,-179
5,45
0,-142
8,145
4,-3
6,98
1,-121
4,0
5,23
3,-23
4,-6
5,29
3,-23
8,157
1,-134
3,-29
8,163
1,-134
4,-6
6,70
4,-20
3,-50
1,-115
3,-27
4,0
8,142
4,-6
4,10
4,-4
2,-93
4,6
8,181
2,-88
4,3
3,-26
5,23
3,-39
6,61
3,-22
4,-3
4,-2
4,5
4,3
4,1
4,-4
4,-18
4,5
4,13
4,3
3,-29
5,51
3,-22
5,22
1,-101
6,79
2,-93
5,54
5,39
6,88
4,-3
3,-38
3,-50
7,134
0,-179
5,45
0,-142
8,145
4,-3
6,98
1,-121
4,0
5,23
3,-23
4,-6
5,29
3,-23
8,157
1,-134
3,-29
8,163
1,-134
4,-6
6,70
4,-20
3,-50
1,-115
3,-27
4,0
8,142
4,-6
4,10
4,-4
2,-93
4,6
8,181
2,-88
4,3
3,-26
5,23
3,-39
6,61
3,-22
4,-3
4,-2
4,5
4,3
4,1
4,-4
4,-18
4,5
4,13
4,3
3,-29
5,51
3,-22
5,22
1,-101
6,79
2,-93
5,54
5,39
6,88
4,-3
3,-38
3,-50
7,134
0,-179
5,45
0,-142
8,145
4,-3
6,98
1,-121
4,0
5,23
3,-23
4,-6
5,29
3,-23
8,157
1,-134
3,-29
8,163
1,-134
4,-6
6,70
4,-20
3,-50
1,-115
3,-27
4,0
8,142
4,-6
4,10
4,-4
2,-93
4,6
8,181
2,-88
4,3
3,-26
5,23
3,-39
6,61
3,-22
4,-3
4,-2
4,5
4,3
4,1
4,-4
4,-18
4,5
4,13
4,3
3,-29
5,51
3,-22
5,22
1,-101
6,79
2,-93
5,54
5,39
6,88
4,-3
3,-38
3,-50
7,134
0,-179
5,45
0,-142
8,145
4,-3
6,98
1,-121
4,0
5,23
3,-23
4,-6
5,29
3,-23
8,157
1,-134
3,-29
8,163
1,-134
4,-6
6,70
4,-20
3,-50
1,-115
3,-27
4,0
8,142
4,-6
4,10
4,-4
2,-93
4,6
8,181
2,-88
4,3
3,-26
5,23
3,-39
6,61
3,-22
4,-3
4,-2
4,5
4,3
4,1
4,-4
4,-18
4,5
4,13
4,3
3,-29
5,51
3,-22
5,22
1,-101
6,79
2,-93
5,54
5,39
6,88
4,-3
3,-38
3,-50
7,134
0,-179
5,45
0,-142
8,145
4,-3
6,98
1,-121
4,0
5,23
3,-23
4,-6
5,29
3,-23
8,157
1,-134
3,-29
8,163
1,-134
4,-6
6,70
4,-20
3,-50
1,-115
3,-27
